,id,file,year,newspaper,city,TAG,text
31,96035,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Octubre 1892__page_16.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"condicioner,telo.  porlodico ao nubilon, por  ahora, los minftce y los viernes f. 6o grelos con cougs los domde, acolonalos y ortrenerles se idolbon suscripciones en lo agoncla judiglil do .  euriquo lloras  c . , parquo do santander ,, accra ar, unin.  29, y en el local do in im pronla, 6 8 bpor allo 96nnma.  t 300 por somostre 18 ndo. s.  apartado no 925  local de la fuipronto 7 . , no 71o, casa contigca al palacio do los virzeses.  el pago debe hacerel anticipadamente, el agente gonera, antonio ma natas p.  diario de cundinamarca.  permanente.  imig xiv no habia llegado aun a osa torior atendio apenas a ciertas oxte pero la soberbia pierde a los liom cido, el gobierno faltaria 6 su deber si posesion audaz det despotismo, que le rioridades para presiarse de instruc bros ! permitio mas tarde ordenar proscripotones cionista.  sia formula de juicio.  lamarfino, paginas 75  18tomo 36 de sus obras .  completnd.  es asi que el gobierno colombiano da ordenado y puede seguir ordenando proscripciones sin formula de juicio, en plena su esta, cosa absurda notoriamente, ."
32,14260,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230917_095616__page_0.json,1897,PF730_Mefistofeles,Bogotá,IRONÍA,"cantaletean algunos historicos mientras en donde flota su bandera, ni que manos, estos dicen y hacer su oracion admirable entre ellos, estan puras para entrar sey bendita, los otros la borran con la zuela guir, dice el colega por el nuevo seaan pobre y no alcanzo a hac del zapato y entonan el himno del servisueltos dero.  alguno con ese contratito, q lismo y de la abyeccion.  ¡ que van a saber donde flota la bandefuerza de rogarle mucho el mi nada vale que el citado periodico eche hasta donde ? le enviamos el pesame.  enorme punada de barro al rostro de su ra si no la han tenido, ni que manos puras propio partido, recordandole que abdico van a encontrar, aun cuando las busquen, que si algunas hay, no se haran cargo de ya los polizontes encargados de despues de una en manos de un hombre de su derecho a los sucios girones de que hablamos antes ! por la moralidad y el respeto al du los que suben.  pensar y a dar su dictainen  que sus melio no se contentan con dormir en la jores jefes se declararon incondicionales y y despues de todo, y en persecucion del sendero donde no se manchen aquequinas, cuando no galantean  al no hay gobierno mas que no pedian la razon y la justicia de un acto, sino que lo apoyaban ciega y servilllos, confiesan que no saben ni van sobre maritornes, sino que allanan las mas digno, mas liberal, la pista verdadera pero que en todo caso quien sabe con que fines  en la noche mas estable y mas more mente por venir del caudillo que declara¡ ya estoy, por fin empl ron infalible, si ya el peso del borron siempre es bueno cumplir con el deber viernes antepasado fue sorprendido ¡ dios quiera que se ha que sobre si se echaron los hizo entrar, de senalar donde puede encontrarse no de estos tenorios en el interior de como un clavo, en el ataud de la nulidad, sabemos si la pista o el sendero."
33,68068,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_296__page_3.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"de la eleccion del jefe tambien podia depender el buen resultado de la jornada, y aunque habia muchos oficiales capaces de dirigirla, se temia acaso que los demas llevaran a mal la eleccion de un caudillo entre tantos iguales.  el adelantado hizo esta vez una eleccion que prueba su buen juicio y el conocimiento que de los hombres poseia.  no escogio, pues, ninguno de los militares, a fin de no descontentarlos y provocar la insubordinacion  el nombramiento de su teniente general recayo en un letrado prudente y bien quisto de todos, en el justicia mayor, licenciado gonzalo jimenez de quesada, quien comenzo su carrera militar mandando ochocientos hombres en una jornada de descubrimiento de las mas trabajosas y delicadas que se han emprendido en america.  como jefe prudente y audaz al mismo tiempo, gonzalo jimenez de quesada correspondio plenamente a las esperanzas del adelantado como amigo y subordinado, su conducta es vituperable, y la juzgaremos a su tiempo con la inflexible justicia que demanda la historia, por mas que se trate del mas ilustre de los descubridores de la nueva granada."
34,90856,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Abril 1892__page_27.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"remitidos.  para que juzgue el publico imparcial en ol ano de 1874, fallecio en leiva bajo, gobiercos y de sus agentes  para apuntar diciembre 30 1889.  disposicion testamentaria le sonora amalia los defectos de la legislacion y para hacer all morales de castro.  por la clausula 6.  de su publico testigo de los vicios que aquejan testamento, instituyo horaderos de aus bie buena marcha de la administracion publica .  zes presentes y futuros  en la mitad, a sont.  por fortuna, como no es un simple aoto hermanas sefioraa natalia y julia morales, ysinterlooutorio el que puede revocar ona een4 aus dos sobrinos juana y miguel morales tencia de tres magistradoe, ni derogar las  y en la otra mitad a su esposo beffor pedro dieposiciones aplicables, esperamos al fullof antonio castro.  pero dijo in testadora .  on la sentencia definitiva que con meboscobol  siendo de advertir que de la porcion asig de mis derechos aprueba la particion que cin nada  mis hermanas y sobrinos, debe recar duda se bara como o dispuso el sefor mase lo que as les adeuda sobre el globo do tie igistrado."
35,30707,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_ene_1888__page_4.json,1888,El taller,Bogotá,POSITIVO,"bogota, enero 14 de 1888.  ecos de la ciudad.  el senor doctor d.  felipe paul, en su calidad de ministro. de gobierno, se ha encargado del departamento administrativo de guerra, mientras el titular, general d.  miguel montoya, desempena las funciones de delegatario al consejo nacional.  el dia 1. o de enero se envio a roma el siguiente cablegrama   sumo pontifice.   roma.   saludamos a vuestra santidad.  pedimos bendicion gobierno, clero y pueblo de colombia .  eliseo payan, presidente de colombia .  jose telesforo, metropolitano. el dia 4 contestaron de roma lo que sigue   excelentisimo han sido muy gratas a su santidad, en cuyo nombre reciba y participe gracias con bendicion gobierno, clero y pueblo.  el senor doctor jorge holguin ha sido nombrado suplente del delegatario, senor d.  miguel a.  caro, por el departamento de panama  y el dese ha excusado de concurrir a las pre  ciones, hizo acto de presencia con la sentes sesiones extraordinarias del consejo.  el dia once del presente, aniversario del fallecimiento del senor doctor d."
37,25565,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_oct_1889__page_7.json,1888,El taller,Bogotá,NEGATIVO,"esa tendenciaanadiolleva a la leyes.  sin embargo, podemos cicer, a pesar vehiculo tal es ol iter.  consideremos la erndecencia, sensualidad social asquerosos manjares, que repugnaria con repugnancia invencible cualquier publico decente, das.  pertenece a la ciencia moderna haberlos que esta compuesta, so juntaron y se con calor, cada una de las estrellas que brillan y que son producto de una literatura patologica y delirante.  termino ro gando a los periodicos catolicos que no recomienden ningun teatro en que la moral no impere , y anadioque si no consigue librar de esa lepra a la sociedad, tendra a menos el consuelo de haber cumplido con su deber.  fue este discurso uno de los mas aplaudidos y lo fue merecidamente  pero j a cuan tristes reflexiones se presta la consideracion de los obstaculos que en las cosas humanas suelen oponerse entre el deseo y la realidad ! y que luego, con el transcurso de los tiemera el publico que aplaudia en aquella ocasion al senor gomez, un publico distinguido alli estaba buena parte pedce."
38,10543,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD761_El mago_results/PD761_El mago__p17054coll26_11615__page_3.json,1891,El mago,Bogotá,IRONÍA,"el papel moneda . ¡ que delicia tant grande es esta invencion de los gobiernos ! un daro en papel moneda, digan lo que quieran, es un peso duro.  pero no es estoy solo.  un peso fuerte de plata, 6 cualquiera otra moneda vale .  que felicidad ! mucho mas en papel moneda y si no lo creeis, id donde leon  maldonado c . , calle 12, frente a la libertad y os convencereis.  alli tamcositas por el estilo.  todos los dias del cauca y de santander, do antioquia y de boyaca, van llegando a bogota forasteros que hay que ver ! pero lo raro del cuento es que van andaregueando por todas partes, buscando donde encontrar aposento.  y andando aqui y aculla por estas calles tan largas, todo el mundo al fin se va al buen hotel panama, donde ciro antonio vargas.  senores agentes de  el mago.  tengo orden de la redaccion de no enviar un solo numero sin que antes so consigne su valor.  en consecuencia, suplico a los que no hayan pagado, lo hagan, si quieren que se les siga enviando.  porque mas vale pajaro en mano que ."
39,56863,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_381__page_3.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"el gobierno espanol no habia dejado tradiciones de gobierno organizado.  una cosa confusa y distante llamada el rey era el principio de donde emanaba toda autoridad y a la cual debia estar sometida toda obediencia.  eso habia desaparecido.  otra institucion llamada virey, unica cosa que nuestras poblaciones habian visto, habia desaparecido tambien.  de derechos individuales, garantias politicas, soberania popular, representacion del pueblo, asambleas deliberantes de nada de eso se habia oido hablar hasta 1810 salvo durante el corto periodo de la insurreccion de los comuneros, en 1781.  narino habia traducido e impreso la declaracion de los derechos del hombre, de la convencion francesa, y ese hecho habia sido mirado como un sacrilegio.  habia un embrion de poder judicial en las tradiciones de la audiencia, y vestigios de organizacion municipal en los ayuntamientos de las ciudades  eso era todo.  de organizacion legislativa no habia nada  los principios fundamentales de organizacion del poder ejecutivo eran los de la tirania contra la cual se luchaba y cuyo recuerdo se deseaba extirpar."
40,103541,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__13__page_42.json,1889,Colombia ilustrada,Bogotá,NEGATIVO,"en la batalla del pantano de vargas 25 de julio de 1819, la heroica legion britanica perdio muchos hombres, cuyos nombres no se consignaron en parte alguno, ni siquiera en el diario del ejercito que se llevaba en el estado mayor por el general manuel manrique.  pero, dice ese diario   .  movio el enemigo, por nuestro frente, los batallones 2o y 3o de numancia, los restos del tambo y el regimiento de dragones de granada, y fueron atacados por una columna de retaguardia, a cuya cabeza estaban unas companias de la legion britanica, que cargo con tanta intrepidez sobre el enemigo, que al momento fue batido y dispersado.  alli fue herido , roto un brazo , el coronel rook, heroico jefe de la legion britanica  el cirujano del ejercito, al verlo, declaro que era preciso amputar ese brazo.  rook no vacilo .   cortelo usted, dijo, y que yo pueda seguir sirviendo en la campana.  el cirujano lo corto.  al quedar el brazo completamente separado de su lugar, lo tomo rook con la mano buena, por la muneca, y levantandolo en alto, como bandera, grito   ¡ viva la independencia ! al dia siguiente rook habia muerto."
41,66991,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_311__page_2.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"examinadores, compuesto de los doctores ignacio carreno, dionisio araujo y jose manuel vega, distinguidos medicos nacionales, satisfecho de los conocimientos del doctor reverend, lo declaro idoneo para ejercer la profesion de la medicina.  inmediatamente despues de incorporado volvio a santamarta y tomo posesion del destino de medico de la ciudad.  en anos posteriores, sirvio los cargos de miembro de la junta de sanidad y de medico del hospital militar, y en 1830 fue nombrado por el general mariano montilla, cirujano mayor del ejercito.  el doctor reverend nacio en falaise, pequena poblacion de la normandia, a fines del mes de noviembre de 1796.  a los doce anos de edad lo matriculo su padre en el  liceo de caen, en donde hizo sus estudios literarios.  en 1814 salio de aquel plantel y vivio temporalmente con su familia en amiens, ciudad en que su padre desempanaba el destino de comandante de armas.  cuando llego a amiens la nueva del atrevido desembarco de napoleon en cannas1o de marzo de 1815el doctor reverend, admirador entusiasta del emperador, sento plaza de soldado en un cuerpo de caballeria, e hizo con el la desgraciada campana del loire, y cuando termino esta, falto de recursos, tuvo que trabajar de empleado en una tipografia."
